code,iata,icao,lat,lon,elevation,name,city,region,country,continent
HNL,HNL,PHNL,21.318611,-157.9225,4,Honolulu International Airport,Honolulu,Hawaii,United States,North America
KOA,KOA,PHKO,19.738889,-156.045556,14,Kona International Airport,Kona,Hawaii,United States,North America
ITO,ITO,PHTO,19.720278,-155.048333,12,Hilo International Airport,Hilo,Hawaii,United States,North America
FRA,FRA,EDDF,50.033333,8.570556,111,Frankfurt Airport,Frankfurt,Hesse,Germany,Europe
YQM,YQM,CYQM,46.116111,-64.678611,71,Greater Moncton International Airport,Moncton,New Brunswick,Canada,North America
YHZ,YHZ,CYHZ,44.879722,-63.510278,145,Halifax Stanfield International Airport,Halifax,Nova Scotia,Canada,North America
KEF,KEF,BIKF,63.985,-22.605556,52,Keflavik International Airport,Keflavik,Sudurnes,Iceland,Europe
SNN,SNN,EINN,52.701944,-8.924722,14,Shannon Airport,Shannon,Clare,Ireland,Europe
DUB,DUB,EIDW,53.421389,-6.27,74,Dublin Airport,Dublin,Fingal,Ireland,Europe
GLA,GLA,EGPF,55.871944,-4.433056,8,Glasgow International Airport,Glasgow,Renfrewshire,Scotland,Europe
MAN,MAN,EGCC,53.353889,-2.275,78,Manchester Airport,Manchester,Lancashire,England,Europe
BHX,BHX,EGBB,52.453889,-1.748056,104,Birmingham Airport,Birmingham,West Midlands,England,Europe
LTN,LTN,EGGW,51.874722,-0.368333,160,London Luton Airport,London,Bedfordshire,England,Europe
LCY,LCY,EGLC,51.505278,0.055278,6,London City Airport,London,Greater London,England,Europe
MPL,MPL,LFMT,43.576389,3.963056,5,Montpellier-Mediterranee Airport,Montpellier,Languedoc-Roussillon,France,Europe
ZRH,ZRH,LSZH,47.464722,8.549167,432,Zurich Airport,Zurich,Zurich,Switzerland,Europe
MUC,MUC,EDDM,48.353889,11.786111,453,Munich Airport,Munich,Bavaria,Germany,Europe
SXF,SXF,EDDB,52.378611,13.520556,48,Berlin Schonefeld Airport,Berlin,Brandenburg,Germany,Europe
OSL,OSL,ENGM,60.202778,11.083889,208,Oslo Airport,Oslo,Akershus,Norway,Europe
HEL,HEL,EFHK,60.317222,24.963333,55,Helsinki-Vantaa Airport,Helsinki,Uusimaa,Finland,Europe
TOS,TOS,ENTC,69.681389,18.917778,10,Tromso Airport,Tromso,Troms,Norway,Europe
LYR,LYR,ENSB,78.246111,15.465556,29,Svalbard Airport,Longyearbyen,Svalbard,Norway,Europe
SCL,SCL,SCEL,-33.392778,-70.785556,474,Comodoro Arturo Merino Benitez International Airport,Santiago,Santiago,Chile,South America
BZE,BZE,MZBZ,17.539167,-88.308333,5,Philip S. W. Goldson International Airport,Belize City,Belize District,Belize,North America
EYW,EYW,KEYW,24.556111,-81.759556,1,Key West International Airport,Key West,Florida,United States,North America
MIA,MIA,KMIA,25.79325,-80.290556,2,Miami International Airport,Miami,Florida,United States,North America
FLL,FLL,KFLL,26.072583,-80.15275,3,Fort Lauderdale-Hollywood International Airport,Fort Lauderdale,Florida,United States,North America
TPA,TPA,KTPA,27.975472,-82.53325,8,Tampa International Airport,Tampa,Florida,United States,North America
MCO,MCO,KMCO,28.429394,-81.308994,29,Orlando International Airport,Orlando,Florida,United States,North America
BTR,BTR,KBTR,30.533167,-91.149639,21,Baton Rouge Metropolitan Airport,Baton Rouge,Louisiana,United States,North America
ATL,ATL,KATL,33.636719,-84.428067,313,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,North America
RDU,RDU,KRDU,35.877639,-78.787472,133,Raleigh-Durham International Airport,Raleigh,North Carolina,United States,North America
